"filename", "language", "C++", "JavaScript", "JSON", "Log", "Groovy", "XML", "Java", "Objective-C", "C", "Makefile", "Shell Script", "Batch", "Properties", "comment", "blank", "total"
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\AECM\aecm\spl_inl_armv7.h", "C++", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 38, 137
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\AECM\aecm\spl_inl_mips.h", "C++", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 33, 205
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\AECM\com_kgeapp_aecm_jni_AECM.h", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 22
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\AECM\dr_wav.h", "C++", 4257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1222, 936, 6415
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\AECM\timing.h", "C++", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 66
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Android.mk", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 13, 18, 212
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Application.mk", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise.cpp", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 6, 65
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\Android.mk", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\RNNoise.cpp", "C++", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 80
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\com_kgeapp_rnnoise_RNNoise.h", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 31
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\_kiss_fft_guts.h", "C++", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 30, 183
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\arch.h", "C++", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 48, 262
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\celt_lpc.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 235, 0, 0, 0, 0, 31, 14, 280
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\celt_lpc.h", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 10, 60
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\common.h", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 49
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\denoise.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 564, 0, 0, 0, 0, 32, 51, 647
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\kiss_fft.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 476, 0, 0, 0, 0, 59, 67, 602
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\kiss_fft.h", "C++", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 39, 204
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\opus_types.h", "C++", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 29, 160
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\pitch.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 441, 0, 0, 0, 0, 54, 32, 527
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\pitch.h", "C++", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 13, 150
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\rnn.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 32, 11, 179
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\rnn.h", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 15, 70
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\rnn_data.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 11021, 0, 0, 0, 0, 1, 30, 11052
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\rnn_data.h", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 35
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\rnn_reader.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 27, 19, 169
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\rnnoise.h", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 16, 115
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\RNNoise\src\tansig_table.h", "C++", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 46
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\android\armv7a\include\sox.h", "C++", 1060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1283, 261, 2604
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\android\armv8a\include\sox.h", "C++", 1060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1283, 261, 2604
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\android\x86-64\include\sox.h", "C++", 1060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1283, 261, 2604
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\android\x86\include\sox.h", "C++", 1060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1283, 261, 2604
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\com_kgeapp_sox_jni_sox.h", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 21, 121
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\sox.cpp", "C++", 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 30, 268
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\adpcm.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 62, 47, 368
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\adpcm.h", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 9, 80
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\adpcms.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 105, 48, 323
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\adpcms.h", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 56
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\aifc-fmt.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 16, 3, 37
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\aiff-fmt.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 16, 3, 34
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\aiff.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 834, 0, 0, 0, 0, 226, 92, 1152
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\aiff.h", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 23
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\al-fmt.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 16, 3, 22
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\alsa.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 331, 0, 0, 0, 0, 21, 28, 380
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\amr-nb.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 24, 14, 91
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\amr-wb.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 25, 19, 116
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\amr.h", "C++", 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 49, 336
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\ao.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 17, 22, 135
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\au.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 0, 23, 21, 238
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\avr.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 56, 59, 288
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\band.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 2, 48
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\bend.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 229, 0, 0, 0, 0, 47, 50, 326
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\biquad.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 17, 19, 179
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\biquad.h", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 11, 79
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\biquads.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 303, 0, 0, 0, 0, 59, 55, 417
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\bit-rot\CoreAudio\CoreAudio.h", "C++", 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33, 274
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\bit-rot\mmreg.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\bit-rot\mmsystem.h", "C++", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 90
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\bit-rot\sndio.h", "C++", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 19, 161
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\bit-rot\sys\audioio.h", "C++", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 39, 290
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\bit-rot\windows.h", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 35
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\caf.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 16, 3, 36
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\cdr.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 17, 6, 50
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\chorus.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 0, 86, 32, 352
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\compand.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 0, 50, 36, 294
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\compandt.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 16, 31, 230
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\compandt.h", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 53
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\contrast.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 16, 6, 50
"c:\Users\Lenovo\git\software-engineering-project\codes\App_frontEnd\android\app\jni\Sox\src\coreaudio.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 317, 0, 0, 0, 0, 27, 75, 419
